product_id,variant_id,title,category,brand,base_price,variant_price,color,size,sku,inventory_quantity,availability,launch_datetime,active,image_url,description
P0000,P0000-V1,Product fvCZNN - White S,Clothing,BrandB,485.81,491.1,White,S,2732a79d-a126-4532-812c-785dcec753a4,20,preorder,2025-09-10T07:00:30.075612,True,https://picsum.photos/seed/V1evG/400/400,Variant of Product fvCZNN with color White and size S.
P0001,P0001-V1,Product RxIobo - Red XL,Sports,BrandA,304.14,299.51,Red,XL,e78b80ab-3183-45dd-ba4c-4c2630b5baff,396,in stock,2025-07-05T07:00:30.075695,False,https://picsum.photos/seed/l36gh/400/400,Variant of Product RxIobo with color Red and size XL.
P0001,P0001-V2,Product RxIobo - Yellow XXL,Sports,BrandA,304.14,349.92,Yellow,XXL,81c91afb-2c86-45f9-a9d6-f44bdd546a44,153,in stock,2025-05-10T07:00:30.075745,True,https://picsum.photos/seed/x869y/400/400,Variant of Product RxIobo with color Yellow and size XXL.
P0001,P0001-V3,Product RxIobo - Red XS,Sports,BrandA,304.14,296.03,Red,XS,d27651d1-1143-4096-bdd2-6b1b9fa3d5a1,46,preorder,2024-10-18T07:00:30.075788,True,https://picsum.photos/seed/fSkMp/400/400,Variant of Product RxIobo with color Red and size XS.
P0001,P0001-V4,Product RxIobo - Red M,Sports,BrandA,304.14,352.13,Red,M,57247d1f-1df2-4655-8116-63a9c5822a98,11,out of stock,2024-11-01T07:00:30.075821,False,https://picsum.photos/seed/SRkEh/400/400,Variant of Product RxIobo with color Red and size M.
P0002,P0002-V1,Product iJ9HXV - Orange M,Sports,BrandC,408.07,389.96,Orange,M,08134c26-0ff4-49d8-83ff-ba83cb263fd1,49,preorder,2024-12-16T07:00:30.075873,False,https://picsum.photos/seed/MZIEB/400/400,Variant of Product iJ9HXV with color Orange and size M.
P0003,P0003-V1,Product dZqPu0 - Blue XXL,Sports,BrandC,85.81,118.75,Blue,XXL,e7ce5526-b0e2-4a31-9029-625cc867afe1,19,in stock,2025-08-02T07:00:30.075927,True,https://picsum.photos/seed/lC7iR/400/400,Variant of Product dZqPu0 with color Blue and size XXL.
P0004,P0004-V1,Product MGEYQu - Black M,Home,BrandA,67.31,71.64,Black,M,1cdc2e60-b347-4bc6-94ee-9efbb9dd98cc,432,in stock,2025-05-09T07:00:30.075969,False,https://picsum.photos/seed/pI8YI/400/400,Variant of Product MGEYQu with color Black and size M.
P0005,P0005-V1,Product Y8efWy - Black XXL,Home,BrandB,37.57,84.14,Black,XXL,1427bc66-698a-4866-b41e-1888dcb359ec,375,preorder,2024-12-22T07:00:30.076007,True,https://picsum.photos/seed/XQ6zH/400/400,Variant of Product Y8efWy with color Black and size XXL.
P0005,P0005-V2,Product Y8efWy - Blue XS,Home,BrandB,37.57,85.94,Blue,XS,27db029b-1f2c-4e18-8b38-99910dd79803,211,out of stock,2025-05-08T07:00:30.076037,False,https://picsum.photos/seed/oDS5L/400/400,Variant of Product Y8efWy with color Blue and size XS.
P0006,P0006-V1,Product ymBCYv - White S,Clothing,BrandB,409.45,444.3,White,S,b59678a6-1be3-421c-a1ee-0a31f0cdd4a2,42,out of stock,2024-10-06T07:00:30.076083,False,https://picsum.photos/seed/PZlDf/400/400,Variant of Product ymBCYv with color White and size S.
P0006,P0006-V2,Product ymBCYv - Black L,Clothing,BrandB,409.45,457.21,Black,L,db189a91-84f5-47d1-ac71-cfe71c3e02c6,89,preorder,2025-02-15T07:00:30.076116,True,https://picsum.photos/seed/hxvjb/400/400,Variant of Product ymBCYv with color Black and size L.
P0006,P0006-V3,Product ymBCYv - Red XL,Clothing,BrandB,409.45,444.06,Red,XL,be8070e0-1a10-47f7-999f-ec9ca3fb31dc,293,preorder,2024-12-10T07:00:30.076147,True,https://picsum.photos/seed/aKnTm/400/400,Variant of Product ymBCYv with color Red and size XL.
P0007,P0007-V1,Product kLQW3E - Yellow S,Sports,BrandD,401.82,409.78,Yellow,S,32a5d7cd-d16d-420b-a5f6-574a45af4b4c,79,in stock,2025-03-24T07:00:30.076185,True,https://picsum.photos/seed/x3aSn/400/400,Variant of Product kLQW3E with color Yellow and size S.
P0007,P0007-V2,Product kLQW3E - Black S,Sports,BrandD,401.82,393.08,Black,S,28487ad9-cf74-4ff8-886a-e45a93dab144,373,preorder,2025-07-02T07:00:30.076214,False,https://picsum.photos/seed/EamHd/400/400,Variant of Product kLQW3E with color Black and size S.
P0007,P0007-V3,Product kLQW3E - White L,Sports,BrandD,401.82,431.56,White,L,3c1142cb-282d-46d5-987a-ac665daa2701,237,out of stock,2025-08-01T07:00:30.076244,False,https://picsum.photos/seed/WBCxP/400/400,Variant of Product kLQW3E with color White and size L.
P0008,P0008-V1,Product 4xQCCj - Yellow XXL,Sports,BrandA,392.16,396.31,Yellow,XXL,d33b36da-556a-4386-b1c2-e41b81e6cd4a,315,out of stock,2025-06-14T07:00:30.076279,False,https://picsum.photos/seed/HQDkU/400/400,Variant of Product 4xQCCj with color Yellow and size XXL.
P0008,P0008-V2,Product 4xQCCj - Blue L,Sports,BrandA,392.16,431.51,Blue,L,a7b94479-3df9-47bb-b665-c671171bd8c1,179,preorder,2025-06-08T07:00:30.076298,True,https://picsum.photos/seed/5B3ue/400/400,Variant of Product 4xQCCj with color Blue and size L.
P0009,P0009-V1,Product Co1JJz - Yellow XL,Electronics,BrandA,248.87,255.06,Yellow,XL,ca0c896f-e5d4-4cc0-9cc5-0b52f00c59d7,244,preorder,2024-10-06T07:00:30.076333,True,https://picsum.photos/seed/7jdFm/400/400,Variant of Product Co1JJz with color Yellow and size XL.
P0009,P0009-V2,Product Co1JJz - Red XS,Electronics,BrandA,248.87,273.88,Red,XS,60250fd0-4f3c-4a5c-851f-023ba83b3d82,396,out of stock,2025-07-27T07:00:30.076361,False,https://picsum.photos/seed/4khdH/400/400,Variant of Product Co1JJz with color Red and size XS.
P0010,P0010-V1,Product XwymU3 - Blue XL,Electronics,BrandC,363.29,382.49,Blue,XL,ec854a3f-49fd-44cd-b83f-4571e2823927,289,in stock,2025-05-16T07:00:30.076397,True,https://picsum.photos/seed/b0l3c/400/400,Variant of Product XwymU3 with color Blue and size XL.
P0010,P0010-V2,Product XwymU3 - Green XS,Electronics,BrandC,363.29,411.39,Green,XS,f210e168-3849-4d4e-8291-332aa9704447,347,in stock,2025-06-21T07:00:30.076442,True,https://picsum.photos/seed/vxnmn/400/400,Variant of Product XwymU3 with color Green and size XS.
P0011,P0011-V1,Product q6AUox - Green M,Home,BrandA,473.14,454.39,Green,M,c3262dd1-9dad-4807-8abf-cced30a6f576,92,in stock,2025-06-21T07:00:30.076481,False,https://picsum.photos/seed/dOj2q/400/400,Variant of Product q6AUox with color Green and size M.
P0011,P0011-V2,Product q6AUox - Yellow L,Home,BrandA,473.14,469.05,Yellow,L,15fc6ea7-0eee-42c8-bf6b-4096c25f6331,97,out of stock,2024-12-06T07:00:30.076516,False,https://picsum.photos/seed/SIlVV/400/400,Variant of Product q6AUox with color Yellow and size L.
P0011,P0011-V3,Product q6AUox - White XL,Home,BrandA,473.14,515.0,White,XL,5419859e-7afb-4ca7-ba99-7ebf5ac1f79d,495,in stock,2025-02-12T07:00:30.076557,False,https://picsum.photos/seed/sg8CK/400/400,Variant of Product q6AUox with color White and size XL.
P0012,P0012-V1,Product vtYBT3 - Orange S,Electronics,BrandD,151.87,152.17,Orange,S,365e4a49-6d14-4a49-9577-da7c1d3f5687,46,out of stock,2025-08-31T07:00:30.076595,False,https://picsum.photos/seed/gmMEu/400/400,Variant of Product vtYBT3 with color Orange and size S.
P0012,P0012-V2,Product vtYBT3 - Blue XXL,Electronics,BrandD,151.87,150.7,Blue,XXL,0c7a850b-1df7-4410-b3f2-d6c701f1786b,269,preorder,2025-05-25T07:00:30.076616,False,https://picsum.photos/seed/tP1bN/400/400,Variant of Product vtYBT3 with color Blue and size XXL.
P0012,P0012-V3,Product vtYBT3 - Orange XL,Electronics,BrandD,151.87,171.51,Orange,XL,963e156b-cd51-40be-9684-2d0391dfc1d0,343,in stock,2024-11-20T07:00:30.076646,False,https://picsum.photos/seed/Ooz0M/400/400,Variant of Product vtYBT3 with color Orange and size XL.
P0012,P0012-V4,Product vtYBT3 - White S,Electronics,BrandD,151.87,177.55,White,S,78d7e4ef-f4c0-4c4b-92bd-d917acb1213d,265,preorder,2025-01-19T07:00:30.076674,True,https://picsum.photos/seed/tlE6y/400/400,Variant of Product vtYBT3 with color White and size S.
P0013,P0013-V1,Product irblsC - Yellow XL,Toys,BrandD,60.41,77.85,Yellow,XL,e0980200-3102-4dee-aee2-69e2e23b335e,268,out of stock,2025-05-21T07:00:30.076710,False,https://picsum.photos/seed/2e8CR/400/400,Variant of Product irblsC with color Yellow and size XL.
P0014,P0014-V1,Product ZlGaEi - Green XS,Toys,BrandC,24.76,23.72,Green,XS,88d68b05-72cc-418f-abf9-e231bc0c92a4,482,preorder,2024-11-20T07:00:30.076753,True,https://picsum.photos/seed/DbfDQ/400/400,Variant of Product ZlGaEi with color Green and size XS.
P0014,P0014-V2,Product ZlGaEi - Orange M,Toys,BrandC,24.76,60.4,Orange,M,6d40c6de-d668-4d17-8199-627fa84e4293,191,preorder,2024-12-16T07:00:30.076802,False,https://picsum.photos/seed/LMglF/400/400,Variant of Product ZlGaEi with color Orange and size M.
P0014,P0014-V3,Product ZlGaEi - Yellow XXL,Toys,BrandC,24.76,46.27,Yellow,XXL,e5ec882e-bed7-4d76-9f53-931970a44e4d,382,preorder,2025-09-23T07:00:30.076835,False,https://picsum.photos/seed/TC87n/400/400,Variant of Product ZlGaEi with color Yellow and size XXL.
P0014,P0014-V4,Product ZlGaEi - Blue XXL,Toys,BrandC,24.76,33.05,Blue,XXL,8d30e3f7-6a80-4864-998a-4843833a83d8,327,in stock,2024-11-26T07:00:30.076865,True,https://picsum.photos/seed/IzpbJ/400/400,Variant of Product ZlGaEi with color Blue and size XXL.
P0015,P0015-V1,Product OvUiib - Blue S,Clothing,BrandB,348.21,344.66,Blue,S,68bef380-8b9d-4944-84d8-da569c5c43a5,124,in stock,2025-05-23T07:00:30.076909,False,https://picsum.photos/seed/Titwq/400/400,Variant of Product OvUiib with color Blue and size S.
P0015,P0015-V2,Product OvUiib - Blue L,Clothing,BrandB,348.21,339.16,Blue,L,34aa459e-21ce-4fe4-a065-8a534fa94f0e,437,in stock,2024-10-18T07:00:30.076939,False,https://picsum.photos/seed/i2k2B/400/400,Variant of Product OvUiib with color Blue and size L.
P0015,P0015-V3,Product OvUiib - Green XS,Clothing,BrandB,348.21,370.72,Green,XS,51219380-33a4-4836-acf8-a3e6bb2da786,112,preorder,2025-01-21T07:00:30.076958,True,https://picsum.photos/seed/qlVga/400/400,Variant of Product OvUiib with color Green and size XS.
P0016,P0016-V1,Product GNtcn3 - White M,Electronics,BrandC,218.68,232.19,White,M,e2267131-ceef-4953-89a0-56b03c22becd,475,in stock,2024-11-23T07:00:30.077003,False,https://picsum.photos/seed/EL3Se/400/400,Variant of Product GNtcn3 with color White and size M.
P0017,P0017-V1,Product ItNp8c - Red M,Home,BrandB,384.52,374.46,Red,M,5fcc98fc-5aff-4ee2-b213-ae1471e268f5,101,preorder,2024-10-22T07:00:30.077040,True,https://picsum.photos/seed/suwNz/400/400,Variant of Product ItNp8c with color Red and size M.
P0018,P0018-V1,Product CG9B90 - Red XXL,Sports,BrandB,17.34,51.4,Red,XXL,1c25985e-2bc4-4075-9a77-2f4efa42be75,213,out of stock,2025-03-27T07:00:30.077076,True,https://picsum.photos/seed/4zO5v/400/400,Variant of Product CG9B90 with color Red and size XXL.
P0018,P0018-V2,Product CG9B90 - Blue M,Sports,BrandB,17.34,45.79,Blue,M,72624786-3b21-485d-9ea6-04a1ffee8817,177,out of stock,2024-10-23T07:00:30.077094,True,https://picsum.photos/seed/wBINK/400/400,Variant of Product CG9B90 with color Blue and size M.
P0018,P0018-V3,Product CG9B90 - Blue L,Sports,BrandB,17.34,10.84,Blue,L,db655be0-ff45-4d50-a668-10b9305fd39b,41,out of stock,2025-04-27T07:00:30.077112,True,https://picsum.photos/seed/bcRZh/400/400,Variant of Product CG9B90 with color Blue and size L.
P0018,P0018-V4,Product CG9B90 - Orange L,Sports,BrandB,17.34,46.01,Orange,L,1e6cb06e-7f9f-4f0e-8f16-6c2ffcd6bd04,293,out of stock,2025-08-07T07:00:30.077130,True,https://picsum.photos/seed/h1UHO/400/400,Variant of Product CG9B90 with color Orange and size L.
P0019,P0019-V1,Product IU4rC7 - Yellow L,Toys,BrandC,262.14,254.6,Yellow,L,a6e71c27-f6c5-48d9-8b8b-121271467b61,455,in stock,2025-04-22T07:00:30.077166,True,https://picsum.photos/seed/X5YHO/400/400,Variant of Product IU4rC7 with color Yellow and size L.
P0020,P0020-V1,Product 9gYvVO - Red XXL,Home,BrandA,432.9,457.87,Red,XXL,34140068-0f17-4377-a41a-7eb977409118,301,out of stock,2025-01-11T07:00:30.077201,True,https://picsum.photos/seed/RKOW1/400/400,Variant of Product 9gYvVO with color Red and size XXL.
